algorithm,cls_name,leaf_size,log_time,metric,metric_params,n_jobs,n_neighbors,p,test_accuracy,test_shape,time_test_test,time_test_train,time_training,train_accuracy,train_shape,weights
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,1,2,50.0,"(10, 784)",0.0013418197631835938,0.010129690170288086,0.006973743438720703,100.0,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,2,2,70.0,"(10, 784)",0.0014481544494628906,0.011740922927856445,0.0005016326904296875,78.8888888889,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,3,2,60.0,"(10, 784)",0.001462697982788086,0.009303808212280273,0.0004870891571044922,76.6666666667,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,4,2,60.0,"(10, 784)",0.003091096878051758,0.013323783874511719,0.0004553794860839844,74.4444444444,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,5,2,60.0,"(10, 784)",0.0013854503631591797,0.009684324264526367,0.0005750656127929688,71.1111111111,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,6,2,60.0,"(10, 784)",0.001455068588256836,0.011159896850585938,0.0004673004150390625,67.7777777778,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:57,minkowski,,1,7,2,40.0,"(10, 784)",0.0014836788177490234,0.011626958847045898,0.0006349086761474609,66.6666666667,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,8,2,40.0,"(10, 784)",0.0013327598571777344,0.009414911270141602,0.00048732757568359375,60.0,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,9,2,50.0,"(10, 784)",0.0014622211456298828,0.011431455612182617,0.0005202293395996094,63.3333333333,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,10,2,50.0,"(10, 784)",0.0013418197631835938,0.009490966796875,0.0005457401275634766,61.1111111111,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,11,2,50.0,"(10, 784)",0.002031564712524414,0.00907444953918457,0.0004913806915283203,55.5555555556,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,12,2,30.0,"(10, 784)",0.0014891624450683594,0.014122486114501953,0.0012576580047607422,56.6666666667,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,13,2,30.0,"(10, 784)",0.014062643051147461,0.010824441909790039,0.0004749298095703125,55.5555555556,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,14,2,40.0,"(10, 784)",0.0013759136199951172,0.009358882904052734,0.00047516822814941406,54.4444444444,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,15,2,20.0,"(10, 784)",0.0029811859130859375,0.009975910186767578,0.0004773139953613281,47.7777777778,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,16,2,20.0,"(10, 784)",0.0014154911041259766,0.009772300720214844,0.0004980564117431641,50.0,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,17,2,0.0,"(10, 784)",0.001863718032836914,0.010181665420532227,0.00046753883361816406,47.7777777778,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,18,2,0.0,"(10, 784)",0.0023925304412841797,0.017230510711669922,0.000640869140625,46.6666666667,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,19,2,0.0,"(10, 784)",0.0017349720001220703,0.014106512069702148,0.003663301467895508,44.4444444444,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,20,2,0.0,"(10, 784)",0.0019290447235107422,0.011396646499633789,0.0005276203155517578,43.3333333333,"(90, 784)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,1,2,50.0,"(10, 784)",0.003233671188354492,0.010467529296875,0.0005240440368652344,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,2,2,50.0,"(10, 784)",0.0017228126525878906,0.01076817512512207,0.0007545948028564453,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,3,2,60.0,"(10, 784)",0.0031981468200683594,0.01620793342590332,0.0006160736083984375,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,4,2,50.0,"(10, 784)",0.004688739776611328,0.011319637298583984,0.000598907470703125,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,5,2,50.0,"(10, 784)",0.0017824172973632812,0.013764619827270508,0.0005676746368408203,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,6,2,50.0,"(10, 784)",0.0017633438110351562,0.011852741241455078,0.0005447864532470703,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,7,2,50.0,"(10, 784)",0.0028421878814697266,0.011684417724609375,0.0005786418914794922,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,8,2,40.0,"(10, 784)",0.0015716552734375,0.010648012161254883,0.0005025863647460938,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,9,2,50.0,"(10, 784)",0.001787424087524414,0.010216474533081055,0.0005388259887695312,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,10,2,50.0,"(10, 784)",0.001519918441772461,0.014328479766845703,0.0014641284942626953,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,11,2,50.0,"(10, 784)",0.0016071796417236328,0.012414932250976562,0.0004868507385253906,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,12,2,30.0,"(10, 784)",0.0015132427215576172,0.011006593704223633,0.0004961490631103516,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,13,2,30.0,"(10, 784)",0.0015125274658203125,0.01067352294921875,0.0007154941558837891,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,14,2,40.0,"(10, 784)",0.0016880035400390625,0.012951850891113281,0.0005192756652832031,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,15,2,30.0,"(10, 784)",0.0019505023956298828,0.010512113571166992,0.0005154609680175781,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,16,2,20.0,"(10, 784)",0.0017168521881103516,0.012067317962646484,0.0006577968597412109,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,17,2,10.0,"(10, 784)",0.0015518665313720703,0.01349496841430664,0.0005021095275878906,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,18,2,10.0,"(10, 784)",0.0016012191772460938,0.013571977615356445,0.0005872249603271484,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,19,2,10.0,"(10, 784)",0.001543283462524414,0.011492490768432617,0.0004901885986328125,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:55:58,minkowski,,1,20,2,0.0,"(10, 784)",0.002689838409423828,0.010700225830078125,0.0006227493286132812,100.0,"(90, 784)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,1,2,50.0,"(10, 43)",0.0006005764007568359,0.0011742115020751953,0.0005335807800292969,100.0,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,2,2,70.0,"(10, 43)",0.0006089210510253906,0.0012600421905517578,0.0003139972686767578,77.7777777778,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,3,2,60.0,"(10, 43)",0.0006079673767089844,0.0012958049774169922,0.0003116130828857422,75.5555555556,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,4,2,60.0,"(10, 43)",0.00063323974609375,0.0012903213500976562,0.000308990478515625,74.4444444444,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,5,2,60.0,"(10, 43)",0.0006253719329833984,0.0013060569763183594,0.0003097057342529297,71.1111111111,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,6,2,60.0,"(10, 43)",0.0006425380706787109,0.0013608932495117188,0.0003116130828857422,72.2222222222,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,7,2,50.0,"(10, 43)",0.0006422996520996094,0.0013647079467773438,0.0003094673156738281,68.8888888889,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,8,2,50.0,"(10, 43)",0.0006344318389892578,0.0013644695281982422,0.00031495094299316406,62.2222222222,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,9,2,50.0,"(10, 43)",0.0006535053253173828,0.001394510269165039,0.0003108978271484375,62.2222222222,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,10,2,40.0,"(10, 43)",0.00067138671875,0.001550436019897461,0.0023157596588134766,62.2222222222,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,11,2,50.0,"(10, 43)",0.0006642341613769531,0.0014150142669677734,0.0003180503845214844,56.6666666667,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,12,2,50.0,"(10, 43)",0.0007457733154296875,0.024929523468017578,0.0003082752227783203,55.5555555556,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,13,2,20.0,"(10, 43)",0.0006673336029052734,0.0014619827270507812,0.0003364086151123047,53.3333333333,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,14,2,20.0,"(10, 43)",0.001283884048461914,0.004449605941772461,0.00031638145446777344,53.3333333333,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,15,2,10.0,"(10, 43)",0.0006835460662841797,0.0014832019805908203,0.0003352165222167969,51.1111111111,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,16,2,20.0,"(10, 43)",0.0006833076477050781,0.0014793872833251953,0.0003123283386230469,50.0,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,17,2,0.0,"(10, 43)",0.0006902217864990234,0.0015366077423095703,0.0003108978271484375,50.0,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,18,2,0.0,"(10, 43)",0.0007276535034179688,0.0014908313751220703,0.0003113746643066406,47.7777777778,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,19,2,0.0,"(10, 43)",0.0006883144378662109,0.0015079975128173828,0.0003108978271484375,46.6666666667,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,20,2,10.0,"(10, 43)",0.0006935596466064453,0.0015244483947753906,0.00031185150146484375,45.5555555556,"(90, 43)",uniform
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,1,2,50.0,"(10, 43)",0.0033714771270751953,0.001066446304321289,0.0003268718719482422,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,2,2,50.0,"(10, 43)",0.0004608631134033203,0.0009629726409912109,0.0008473396301269531,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,3,2,60.0,"(10, 43)",0.0005557537078857422,0.000946044921875,0.00024771690368652344,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,4,2,60.0,"(10, 43)",0.0004897117614746094,0.0009191036224365234,0.00022673606872558594,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,5,2,50.0,"(10, 43)",0.00045943260192871094,0.0009386539459228516,0.0002238750457763672,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,6,2,50.0,"(10, 43)",0.0004649162292480469,0.0009620189666748047,0.00022411346435546875,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,7,2,50.0,"(10, 43)",0.0004673004150390625,0.0009801387786865234,0.0002231597900390625,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,8,2,50.0,"(10, 43)",0.0004673004150390625,0.0010919570922851562,0.0002243518829345703,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,9,2,50.0,"(10, 43)",0.00048279762268066406,0.0010077953338623047,0.00022292137145996094,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,10,2,40.0,"(10, 43)",0.0004820823669433594,0.0010211467742919922,0.00022125244140625,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,11,2,50.0,"(10, 43)",0.00048828125,0.0010762214660644531,0.00022339820861816406,100.0,"(90, 43)",distance
auto,KNeighborsClassifier,30,2018-01-21 14:56:06,minkowski,,1,12,2,50.0,"(10, 43)",0.0005333423614501953,0.001054525375366211,0.0002238750457763672,100.0,"(90, 43)",distance
